№	English	Proto-Celtic (WTF WTF!)	Best	PIE		Breton	Cornish	Welsh	Old Irish (some German!)	Irish	Scottish Gaelic	Manx	Gaulish
190	round	*krundis		✓ Kroundh ++	✓	ront, krenn	krenn	crwn	cruinn	cruinn	cruinn	cruinn	[Term?]
191	sharp (as a knife)	*kerbos		✓ cerb çerp lymm?	✓ / ?	lemm	lymm	miniog, llym	gér, áith	géar	geur	geyre	[Term?]
192	dull (as a knife)	*mailos		dull foul mal ✓ ✓	✓	dall		pŵl	máel	maol	maol	moal	[Term?]
193	smooth	*slimonos		Slimeooth :) min? Laufen?	?✓	lintr, levn	leven, gwastas	llyfn	réid, mín	mín	mìn	meein, rea	[Term?]
194	wet	*wlikʷos		Glibschig ++ fluidh	!✓	gwleb	glyb, gwlygh	gwlyb	fliuch	fliuch	fliuch	fliugh	[Term?]
195	dry (adjective)	*siskʷos		secco tir~dry	✓	sec'h	sych	sych	tírim	tirim	tioram	çhirrym	[Term?]
196	right (correct)	*eɸinos WTF		✓ certain correct righzht	✓	reizh	ewn	iawn, cywir, certh	cert, cóir	ceart	ceart	kiart	[Term?]
197	near	*onkos n?	next  𓏏 𓎡 𓈖 𓂻  reverse	an.kit ជិត cɨt dakat@Malay	!✓? <<	tost, ogos	ogas	agos	ocus	cóngarach, in aice	faisg, dlùth	faggys, er çheu, er gerrey	[Term?]
198	far	*kʷeslos, *kēnos – WTF		pel~far~fada !	~?	pell	pell	pell	cían, i fat	fada	fada	foddey	[Term?]
199	right (side)	*dexswos		derechia	✓	dehou	deghow	de	dess	deas	deas	jesh	[Term?]
200	left (side)	*klēyos		kleftz	<<	kleiz, klez	kledh	chwith	clé, túath-	clé	clì	clee, toshtal	[Term?]
201	at	*onkos WTF!!		da, at, ort, oc, og, aux !	✓	da	orth	at, wrth	oc	ag	aig	ec	[Term?]
202	in	*eni		in an en	✓	e, en, e-barzh, ba	yn	yn, mewn	i	i	ann	ayns	[Term?]
203	with (accompanying)	*kom, *kantā		Com <> ganz!! <<	✓	gant, get	gans	â, gan, gyda, efo	co, la, i n-arrad	le	le	lesh, marish	[Term?]
204	and	*-kʷe, *atkʷe, *eti		•qve ad he ! <<<	✓	ha, hag	ha, hag	a	ocus	agus	agus	as	[Term?]
205	if	*smā		sein si may MA? !!! <<<<<	!!!✓✓!?	ma, mar, pe	mar	os, pe	má, día	má, dá	ma, nan	my, ga	[Term?]
206	because	óre		*car!	~✓ …	abalamour ma, peogwir	drefenn	achos, oherwydd	óre	óir	oir	er-yn-oyr	[Term?]
207	name	*anman		𓂋 𓈖 rainm !!!	!✓	anv	hanow	enw	ainmm	ainm	ainm	ennym	anuana
													
		Comparison table											
	English	Welsh 				Cornish 	Breton 	Irish 	Scottish Gaelic 	Manx 			
	bee	gwenynen 	gwenenen beach	queen bee	✓ <3 	gwenenen 	gwenanenn 	beach 	seillean, beach 	shellan 			
	chair	cadair 		chaise <cede,sit	✓	kador 	kador 	cathaoir 	cathair, seidhir 	caair 			
	cheese	caws 		caws	✓	keus 	keuz 	cáis 	càis(e) 	caashey 			
	estuary, mouth of a river	aber 	*endo-ber-o	entry < ein-trag	✓	aber 	aber 	inbhear 	inbhir 	inver 			
	full	llawn 	*pl̥h₁n	Fillen > long lane?	✓	leun 	leun 	lán 	làn 	lane 			
	goat	gafr 	gaver	capri	✓	gaver 	gavr 	gabhar 	gobhar 	goayr 			
	house	tŷ 	teach, tigh		<< ? Tisch < δίσκ	chi 	ti 	teach, tigh 	taigh 	thie 			
	lip (anatomical)	gwefus 	Gli.Pus 	Bussi bāsium, بوسیدن‎ 	✓-+-	gweus 	gweuz 	liopa, beol 	bile, lip 	meill 			
	silver, money	arian, prês 	moneiz, arcʼhant		✓	mona, arhans 	moneiz, arcʼhant 	airgead 	airgead 	argid 			
	night	nos 			✓	nos 	noz 	oíche 	oidhche 	oie 			
	number	rhif, nifer 	← – 		✓	niver 	niver 	uimhir 	àireamh 	earroo 			
	outside	tu mas, tu allan 	i mmaig	ante mesa ^^ tisch = house /field	<< >>	yn-mes 	er-maez 	amuigh 	a-muigh 	mooie 			
	pear	gellygen, peren 	piorra 		✓	peren 	perenn 	piorra 	peur/piar 	peear 			
	quarry, mine	chwarel, mwynglawdd 	cairéal, mengleuz		✓ <	mengleudh 	mengleuz 	cairéal 	coireall, cuaraidh 	quarral 			
	school	ysgol 	Ysgol @ Hun		✓	skol 	skol 	scoil 	sgoil 	scoill 			
	star	seren 	Steren > seren ☾ !		✓	steren 	steredenn 	réalta 	reul, rionnag 	rollage 			
	today	heddiw 	Heddiw < hodie		✓ heute!	hedhyw 	hiziv 	inniu 	an-diugh 	jiu 			
	(to) fall	cwympo 				kodha 	kouezhañ 	tit(im) 	tuit(eam) 	tuitt(ym) 			
	(to) smoke	ysmygu 				megi 	mogediñ, butuniñ 	caith(eamh) tobac 	smocadh 	toghtaney, smookal 			
	(to) whistle	chwibanu 				hwibana	c'hwibanat 	feadáil 	fead 	fed 			
